Column1,Column2,Column3
"Charging Station 10 Ports USB Dock - 60W Multi-Port Stand Desktop Organizer with Built-in Retractable Cables Charges Multiple Devices for iPad, Samsung, Tablet, Kindle",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A00324332NN4XQBJLQXX2&url=%2FCharging-Station-Ports-Dock-Built%2Fdp%2FB07ZPNV3N1%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008034%26sr%3D8-37-spons%26psc%3D1&qualifier=1586008034&id=6812665767343060&widgetName=sp_btf,"43
.
"
"Power Bank 26800mah Portable Charger with Dual Output and Dual Input,Battery Backup Portable Phone Charger with LCD Screen,Compact External Battery Pack for iPhone,Samsung Galaxy,ipad and More.",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A049958012IVHA35C49Z2&url=%2F26800mah-Portable-Charger-Battery-External%2Fdp%2FB0823LTKL8%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008034%26sr%3D8-38-spons%26psc%3D1&qualifier=1586008034&id=6812665767343060&widgetName=sp_btf,"32
.
"
"Hiboost Cell Phone Signal Booster for Home & Office, Boosts 4G LTE Voice and Data for All U.S. Carriers - Verizon, T-Mobile, Sprint, AT&T| Up to 3,000 sq. ft. Cellular Repeater Amplifier Kits with APP",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A08723943E7Z4YWHFUBGN&url=%2FHiboost-Signal-Booster-Office-Carriers%2Fdp%2FB07ZF88B1X%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008038%26sr%3D8-33-spons%26psc%3D1&qualifier=1586008038&id=1425121218588315&widgetName=sp_atf_next,"309
.
"
Caseology Padwell Qi-Certified Fast Wireless Charger - 10W for Android / 7.5W for iPhone - White,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A046716812BF94TV7B56Q&url=%2FCaseology-Padwell-Qi-Certified-Wireless-Charger%2Fdp%2FB07CV5DHNH%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008038%26sr%3D8-34-spons%26psc%3D1&qualifier=1586008038&id=1425121218588315&widgetName=sp_atf_next,"10
.
"
Samsung Galaxy S20 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | US Warranty | Cloud Pink,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A02624101O0LQDM0YEYHP&url=%2FSamsung-Unlocked-Fingerprint-Recognition-Long-Lasting%2Fdp%2FB082XXQDJF%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008038%26sr%3D8-43-spons%26psc%3D1&qualifier=1586008038&id=1425121218588315&widgetName=sp_mtf,"799
.
"
"Samsung Galaxy S10+ Plus 128GB Smart Phone, Prism Blue",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_2?ie=UTF8&adId=A02867612KZ17121R3KHX&url=%2FSamsung-Galaxy-Factory-Unlocked-Warranty%2Fdp%2FB07N4M7F9Q%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008038%26sr%3D8-44-spons%26psc%3D1&qualifier=1586008038&id=1425121218588315&widgetName=sp_mtf,"699
.
"
"Samsung Galaxy Note 10+ Plus Factory Unlocked Cell Phone with 512GB (U.S. Warranty), Aura Black/ Note10+",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0393475KS7CEOZUEKTH&url=%2FSamsung-Galaxy-Factory-Unlocked-Warranty%2Fdp%2FB07V5KS95Y%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008038%26sr%3D8-53-spons%26psc%3D1&qualifier=1586008038&id=1425121218588315&widgetName=sp_btf,"1,049
.
"
"Solar Charger,Soxono 16000mAh Solar Power Bank with Qi Wireless Charger and 2-USB Port Ultra Portable Phone Charger Power Bank External Battery Pack with 15 LEDs Flashlight for iPhone,iPad,Samsung",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_2?ie=UTF8&adId=A04732971VQDXPWMTM125&url=%2F16000mAh-Wireless-Portable-External-Flashlight%2Fdp%2FB081NG6661%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008038%26sr%3D8-54-spons%26psc%3D1&qualifier=1586008038&id=1425121218588315&widgetName=sp_btf,"27
.
"
8'' Selfie Ring Light with Adjustable Tripod Stand - Upgraded Dimmable Camera Ring Light with Phone Holder for TikTok/YouTube/Live Stream/Makeup/Photography Compatible with iPhone Android Samsung,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A089279630VSLMKO89LYU&url=%2FSelfie-Light-Adjustable-Tripod-Stand%2Fdp%2FB083988KK3%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008041%26sr%3D8-49-spons%26psc%3D1&qualifier=1586008041&id=5734135524656555&widgetName=sp_atf_next,"36
.
"
"Rydonair Car Wireless Charger Cup, Car Cup Holder Wireless Phone Charger with 5V 2.0A USB Charger and Type C Charger Compatible with iPhone, Samsung, etc.",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_2?ie=UTF8&adId=A02010302GNHEOGBEX6WY&url=%2FRydonair-Wireless-Charger-Compatible-Samsung%2Fdp%2FB085T5F3YV%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008041%26sr%3D8-50-spons%26psc%3D1&qualifier=1586008041&id=5734135524656555&widgetName=sp_atf_next,"29
.
"
Samsung Galaxy S20 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | US Warranty |Cloud Blue,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0262566AKI7H15QNLCL&url=%2FSamsung-Unlocked-Fingerprint-Recognition-Long-Lasting%2Fdp%2FB082XXKZRC%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008041%26sr%3D8-59-spons%26psc%3D1&qualifier=1586008041&id=5734135524656555&widgetName=sp_mtf,"799
.
"
"Samsung Galaxy S10e Factory Unlocked Phone with 256GB (U.S. Warranty), Prism Blue - SM-G970UZBEXAA",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_2?ie=UTF8&adId=A04035993L92SHC7LNLDV&url=%2FSamsung-Galaxy-Factory-Unlocked-Warranty%2Fdp%2FB07N4L36H2%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008041%26sr%3D8-60-spons%26psc%3D1&qualifier=1586008041&id=5734135524656555&widgetName=sp_mtf,"699
.
"
"Samsung Galaxy Note 10 Factory Unlocked Cell Phone with 256GB (U.S. Warranty), Aura White/ Note10",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A08450892JXD3SY0APMFY&url=%2FSamsung-Galaxy-Factory-Unlocked-Warranty%2Fdp%2FB07V6NJWH7%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008041%26sr%3D8-69-spons%26psc%3D1&qualifier=1586008041&id=5734135524656555&widgetName=sp_btf,"799
.
"
CONGO 10 in 1 Clip on Cell Phone Lens Kit Wide Angle | Fisheye | Macro | Telephoto | Kaleidoscope | Flow|Star|Radial Filter Compatible with iPhone Samsung Most iOS & Android Smartphones,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_2?ie=UTF8&adId=A00706103BAGP3KYSFOMC&url=%2FCONGO-Telephoto-Kaleidoscope-Compatible-Smartphones%2Fdp%2FB085FXQNVS%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008041%26sr%3D8-70-spons%26psc%3D1&qualifier=1586008041&id=5734135524656555&widgetName=sp_btf,"19
.
"
"Car Cup Holder Phone Mount Universal Adjustable Cradle Phone Holder for Car iPhone Xs/Max/X/XR/8/8 Plus,Samsung Note 9/ S10+/ S9/ S9+/ S8 by DALUZ",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A040203617OQHPS9URV9C&url=%2FHolder-Universal-Adjustable-Samsung-DALUZ%2Fdp%2FB07NN7SRDD%2Fref%3Dsr_1_65_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008045%26sr%3D8-65-spons%26psc%3D1&qualifier=1586008045&id=2550045147352125&widgetName=sp_atf_next,"15
.
"
"YW YUWISS Bluetooth Headset [36Hrs Playtime, 2 Batteries] Wireless Bluetooth Earpiece for Cell Phone Noise Canceling Car Earphones with Mic Compatible with iPhone Samsung Android (Upgraded Version)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_2?ie=UTF8&adId=A0770371SJ7HEA0ONADG&url=%2FYW-YUWISS-Bluetooth-Batteries-Compatible%2Fdp%2FB084SSWJ4Q%2Fref%3Dsr_1_66_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008045%26sr%3D8-66-spons%26psc%3D1&qualifier=1586008045&id=2550045147352125&widgetName=sp_atf_next,"21
.
"
Samsung Galaxy S20+ Plus 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | US Warranty |Cosmic Black,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0298253JOP304V3SBEW&url=%2FSamsung-Unlocked-Fingerprint-Recognition-Long-Lasting%2Fdp%2FB082XY6YYZ%2Fref%3Dsr_1_75_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008045%26sr%3D8-75-spons%26psc%3D1&qualifier=1586008045&id=2550045147352125&widgetName=sp_mtf,"999
.
"
"Samsung Galaxy S10e Factory Unlocked Phone with 128GB (U.S. Warranty), Prism Blue",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_2?ie=UTF8&adId=A04037552PPRACDVV0MGJ&url=%2FSamsung-Galaxy-Factory-Unlocked-Warranty%2Fdp%2FB07N4PM7NK%2Fref%3Dsr_1_76_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008045%26sr%3D8-76-spons%26psc%3D1&qualifier=1586008045&id=2550045147352125&widgetName=sp_mtf,"599
.
"
"Samsung Galaxy Note 10 Factory Unlocked Cell Phone with 256GB (U.S. Warranty), Aura Black/ Note10",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_1?ie=UTF8&adId=A0844933QK43SLRXJIMY&url=%2FSamsung-Galaxy-Factory-Unlocked-Warranty%2Fdp%2FB07V5KSWXM%2Fref%3Dsr_1_85_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008045%26sr%3D8-85-spons%26psc%3D1&qualifier=1586008045&id=2550045147352125&widgetName=sp_btf,"799
.
"
"iOttie Wireless Car Charger Auto Sense Qi Charging Automatic Clamping Dashboard Phone Mount for iPhone, Samsung Galaxy, Huawei, LG, Smartphones",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_2?ie=UTF8&adId=A0298443VG1V8F4C0JYI&url=%2FiOttie-Automatic-Clamping-Dashboard-Smartphones%2Fdp%2FB07RBC21Z6%2Fref%3Dsr_1_86_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008045%26sr%3D8-86-spons%26psc%3D1&qualifier=1586008045&id=2550045147352125&widgetName=sp_btf,"59
.
"
Link Dream Bluetooth Earpiece for Cell Phone Hands Free Wireless Headset Noise Cancelling Mic 24Hrs Talking 1440Hrs Standby Compatible with iPhone Samsung Android for Driver Trucker (2 Pack),/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg6_1?ie=UTF8&adId=A03253972UY0TDW7NT5KR&url=%2FLink-Dream-Bluetooth-Cancelling-Compatible%2Fdp%2FB07PJHFJG7%2Fref%3Dsr_1_81_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008048%26sr%3D8-81-spons%26psc%3D1&qualifier=1586008048&id=1250830424423224&widgetName=sp_atf_next,"29
.
"
